"#","Product A","Product B","Tier","Type","Strength","Same Session OK","G1","G2","G3","G4","G5","G6","G7","G8","Evidence Type","Clinical Rationale","Timing Guidance","Patient Education Text","Staff Talking Points","Evidence Summary","Decision","Notes"
"11","Daxxify","SKINVIVE by Juvederm","common","complementary","strong","true","PASS","PASS","PASS","PASS","PASS","PASS","PASS","PASS","LOW","Daxxify's peptide exchange technology provides ~6-month neurotoxin duration, and SKINVIVE provides approximately 6-month skin quality improvement -- creating a convenient shared maintenance schedule. SKINVIVE is NOT a volume filler; it uses microdroplet HA intradermally to improve skin smoothness and hydration. Cross-ecosystem pairing (Revance + Allergan).","Same session or sequential visits. Neurotoxin administered first, SKINVIVE microdroplets second. Both have approximately 6-month durations, so retreatment visits can often be aligned.","Tell the patient: ""Daxxify is a longer-lasting wrinkle relaxer that works for about six months. SKINVIVE is different from a traditional filler -- it doesn't add volume. Instead, it uses tiny microdroplets of hyaluronic acid to improve your skin's overall cheek skin smoothness. It also lasts about six months. Conveniently, they're on a similar maintenance schedule.""","""Two key points: SKINVIVE is not a filler (it's microdroplets for skin quality), and both Daxxify and SKINVIVE last about six months so maintenance can be aligned. Cross-brand pairing (Revance + Allergan) -- different loyalty programs.""","No product-specific or class-level study for BoNT-A + microdroplet HA. SKINVIVE is not a traditional filler. FDA labels for both.","",""
"12","Dysport","Juvederm Vollure XC","common","complementary","strong","true","PASS","PASS","PASS","PASS","PASS","PASS","PASS","PASS","MODERATE","Dysport's broader diffusion pattern makes it well-suited for treating large dynamic zones (forehead, lateral crow's feet) with fewer injection points, while Vollure's VYCROSS-crosslinked HA addresses nasolabial folds with an 18-month duration. Dysport has faster onset at 2-5 days.","Same session or sequential visits. Neurotoxin administered first, filler second. If sequential: Dysport 2 weeks before Vollure. Dysport's faster onset (2-5 days) allows earlier assessment. Vollure at 12-18 months; Dysport at 3-4 months.","Tell the patient: ""Dysport works by relaxing the muscles that create expression lines -- it's especially effective for smoothing broad areas like the forehead and crow's feet, and many patients notice results within a few days. Vollure is a filler designed specifically for nasolabial fold lines and typically lasts about 18 months.""","""When a patient mentions both forehead lines and nasolabial folds, explain these are two different concerns with two different causes -- muscle movement vs volume loss. Dysport works well across broader zones; Vollure is specifically designed for NLF lines.""","PubMed DOI 10.1097/DSS.0000000000000754 (category-level). FDA labels for both. Dysport: broader diffusion, faster onset (2-5 days). Vollure: VYCROSS crosslinking, 18-month duration.","",""
"13","Dysport","Juvederm Voluma XC","common","complementary","strong","true","PASS","PASS","PASS","PASS","PASS","PASS","PASS","PASS","MODERATE","Dysport's broader diffusion pattern treats large dynamic zones effectively with fewer injection points, while Voluma provides deep structural volume restoration using VYCROSS technology with up to 2-year duration. Dysport has faster onset at 2-5 days.","Same session or sequential visits. Neurotoxin administered first, filler second. If sequential: Dysport 2 weeks before Voluma. Voluma at 18-24 months; Dysport at 3-4 months.","Tell the patient: ""Dysport is designed to relax the muscles that cause expression lines -- it works especially well across broader areas and you may notice results within just a few days. Voluma is a structural filler placed deep in the cheeks -- one of the longer-lasting fillers available, often holding for up to two years.""","""When a patient says they look tired or 'deflated,' separate the concerns: forehead/eye lines (muscle movement -- Dysport) vs cheek flatness (structural volume loss -- Voluma). Emphasize that cheek volume restoration can improve overall lower face appearance.""","PubMed DOI 10.1097/DSS.0000000000000754 (category-level). FDA labels for both. Dysport: broader diffusion, faster onset (2-5 days). Voluma: VYCROSS crosslinking, up to 2-year duration.","",""
"14","Dysport","Restylane Lyft","common","complementary","strong","true","PASS","PASS","PASS","PASS","PASS","PASS","PASS","PASS","MODERATE","Dysport and Restylane Lyft are both Galderma products, creating ecosystem alignment. Dysport's broader diffusion treats large dynamic zones effectively, while Restylane Lyft has a unique dual FDA indication for both midface volume and hands. Dysport has faster onset at 2-5 days.","Same session or sequential visits. Neurotoxin administered first, filler second. If sequential: Dysport 2 weeks before Restylane Lyft. If treating hands, timing is independent. Dysport at 3-4 months; Restylane Lyft at 12-18 months.","Tell the patient: ""Dysport relaxes the muscles that create expression lines -- it's designed to work well across broad areas and you may see results within a few days. Restylane Lyft is specifically approved for restoring midface volume, and it's one of the few fillers also approved for hands. They're made by the same company.""","""Dysport and Restylane Lyft are both Galderma products. Restylane Lyft's hand indication is a genuine differentiator -- no other HA filler has the dual face-and-hands FDA approval.""","PubMed DOI 10.1097/DSS.0000000000000754 (category-level). FDA labels for both. Dysport: broader diffusion, faster onset. Restylane Lyft: NASHA technology, dual FDA indication (midface + hands).","",""
"15","Dysport","RHA Redensity","common","complementary","strong","true","PASS","PASS","PASS","PASS","PASS","PASS","PASS","PASS","MODERATE","Dysport's broader diffusion treats large dynamic zones with fewer injection points and faster onset (2-5 days), while RHA Redensity uses resilient HA technology specifically designed for perioral fine lines. RHA Redensity is a ""finishing filler"" for areas of constant movement. Cross-ecosystem pairing (Galderma + Revance).","Same session or sequential visits. Neurotoxin administered first, filler second. If sequential: Dysport 2 weeks before RHA Redensity. RHA Redensity is typically a finishing step. Dysport at 3-4 months.","Tell the patient: ""Dysport works by relaxing the muscles that cause expression lines -- particularly effective for broad areas like the forehead. The fine lines around your mouth are different -- RHA Redensity is a specialized filler designed for exactly those delicate perioral lines. It uses a resilient formula that moves naturally with your facial expressions.""","""Dysport is Galderma and RHA Redensity is Revance -- different loyalty programs. Dysport relaxes broad upper face muscle lines; RHA Redensity refines perioral fine lines as a finishing filler.""","PubMed DOI 10.1097/DSS.0000000000000754 (category-level). FDA labels for both. Dysport: broader diffusion, faster onset. RHA Redensity: resilient HA for dynamic perioral areas.","",""
"16","Dysport","SKINVIVE by Juvederm","common","complementary","strong","true","PASS","PASS","PASS","PASS","PASS","PASS","PASS","PASS","LOW","Dysport's broader diffusion treats dynamic expression lines with faster onset (2-5 days), while SKINVIVE is NOT a volume filler -- it uses microdroplet HA intradermally to improve skin smoothness and hydration. Cross-ecosystem pairing (Galderma + Allergan).","Same session or sequential visits. Neurotoxin administered first, SKINVIVE microdroplets second. SKINVIVE is typically a finishing step. Dysport at 3-4 months; SKINVIVE approximately every 6 months.","Tell the patient: ""Dysport relaxes the muscles that create expression lines and you may see improvement within a few days. SKINVIVE is different from a traditional filler -- it uses tiny microdroplets of hyaluronic acid just under the skin's surface to improve overall cheek skin smoothness. Dysport addresses specific wrinkles, SKINVIVE improves the quality of the skin itself.""","""SKINVIVE is not a filler in the traditional sense -- it's microdroplets for skin quality/smoothness. Cross-brand pairing (Galderma + Allergan) -- loyalty programs don't align.""","No product-specific or class-level study for BoNT-A + microdroplet HA. FDA labels for both. Dysport: broader diffusion, faster onset.","",""
"17","Jeuveau","Juvederm Vollure XC","common","complementary","strong","true","PASS","PASS","PASS","PASS","PASS","PASS","PASS","PASS","MODERATE","Jeuveau (""Newtox"") is an aesthetics-only neurotoxin with Hi-Pure technology by Evolus. Vollure's VYCROSS-crosslinked HA addresses nasolabial folds with an 18-month duration. Jeuveau has limited product-specific published evidence. The complementarity is mechanism-based. Cross-ecosystem (Evolus + Allergan).","Same session or sequential visits. Neurotoxin administered first, filler second. If sequential: Jeuveau 2 weeks before Vollure. Jeuveau at 3-4 months; Vollure at 12-18 months.","Tell the patient: ""Jeuveau is a wrinkle relaxer designed specifically for cosmetic use. It can't address the deeper nasolabial fold lines from volume loss. Vollure is a filler designed specifically for those lines and typically lasts about 18 months.""","""Jeuveau is sometimes called Newtox -- an aesthetics-only wrinkle relaxer by Evolus. Vollure addresses nasolabial folds. Jeuveau is Evolus and Vollure is Allergan -- different loyalty programs.""","PubMed DOI 10.1097/DSS.0000000000000754 (category-level). FDA labels for both. Jeuveau: aesthetics-only, Hi-Pure technology. Vollure: VYCROSS crosslinking, 18-month duration.","",""
"18","Jeuveau","Juvederm Voluma XC","common","complementary","strong","true","PASS","PASS","PASS","PASS","PASS","PASS","PASS","PASS","MODERATE","Jeuveau (""Newtox"") is an aesthetics-only neurotoxin with Hi-Pure technology. Voluma provides deep structural cheek volume using VYCROSS technology with up to 2-year duration. Voluma is typically placed first in multi-filler protocols. Jeuveau has limited product-specific published evidence. Cross-ecosystem (Evolus + Allergan).","Same session or sequential visits. Neurotoxin administered first, filler second. If sequential: Jeuveau 2 weeks before Voluma. Jeuveau at 3-4 months; Voluma at 18-24 months.","Tell the patient: ""Jeuveau is a wrinkle relaxer made specifically for cosmetic use. Expression lines and cheek volume loss are two separate things. Voluma is a structural filler placed deep in the cheeks and can last up to two years.""","""When a patient mentions looking tired or 'deflated,' separate expression lines (Jeuveau) from structural volume loss (Voluma). Jeuveau is Evolus, Voluma is Allergan -- different loyalty programs.""","PubMed DOI 10.1097/DSS.0000000000000754 (category-level). FDA labels for both. Jeuveau: aesthetics-only, Hi-Pure technology. Voluma: VYCROSS crosslinking, up to 2-year duration.","",""
"19","Jeuveau","Restylane Lyft","common","complementary","strong","true","PASS","PASS","PASS","PASS","PASS","PASS","PASS","PASS","MODERATE","Jeuveau (""Newtox"") is an aesthetics-only neurotoxin with Hi-Pure technology. Restylane Lyft uses NASHA technology with unique dual FDA indication for midface volume and hands. Jeuveau has limited product-specific published evidence. Cross-ecosystem (Evolus + Galderma).","Same session or sequential visits. Neurotoxin administered first, filler second. If sequential: Jeuveau 2 weeks before Restylane Lyft. If treating hands, timing is independent. Jeuveau at 3-4 months; Restylane Lyft at 12-18 months.","Tell the patient: ""Jeuveau is a wrinkle relaxer made specifically for cosmetic use. Restylane Lyft is one of the few fillers approved for both midface volume and hands. If you're concerned about aging hands, Lyft is specifically designed for that.""","""Restylane Lyft's hand indication is a genuine clinical differentiator. Jeuveau is Evolus and Lyft is Galderma -- different loyalty ecosystems.""","PubMed DOI 10.1097/DSS.0000000000000754 (category-level). FDA labels for both. Jeuveau: aesthetics-only, Hi-Pure technology. Restylane Lyft: NASHA technology, dual FDA indication.","",""
"20","Jeuveau","RHA Redensity","common","complementary","strong","true","PASS","PASS","PASS","PASS","PASS","PASS","PASS","PASS","MODERATE","Jeuveau (""Newtox"") is an aesthetics-only neurotoxin with Hi-Pure technology. RHA Redensity uses resilient HA technology for perioral fine lines -- a ""finishing filler"" for dynamic areas. Jeuveau has limited product-specific published evidence. Cross-ecosystem (Evolus + Revance).","Same session or sequential visits. Neurotoxin administered first, filler second. If sequential: Jeuveau 2 weeks before RHA Redensity. RHA Redensity is typically a finishing step. Jeuveau at 3-4 months.","Tell the patient: ""Jeuveau is a wrinkle relaxer made specifically for cosmetic use. The fine lines around your mouth need a filler that can move with your expressions. RHA Redensity is a specialized filler designed for exactly those delicate perioral lines.""","""RHA Redensity is sometimes called a finishing filler -- it handles fine details after broader concerns are addressed. These are different ecosystems (Evolus + Revance) -- no shared loyalty program.""","PubMed DOI 10.1097/DSS.0000000000000754 (category-level). FDA labels for both. Jeuveau: aesthetics-only, Hi-Pure technology. RHA Redensity: resilient HA for dynamic perioral areas.","",""
"21","Jeuveau","SKINVIVE by Juvederm","common","complementary","strong","true","PASS","PASS","PASS","PASS","PASS","PASS","PASS","PASS","LOW","Jeuveau (""Newtox"") is an aesthetics-only neurotoxin with Hi-Pure technology. SKINVIVE is NOT a volume filler -- it uses microdroplet HA intradermally to improve skin smoothness and hydration. Both are newer-generation products. Cross-ecosystem (Evolus + Allergan).","Same session or sequential visits. Neurotoxin administered first, SKINVIVE microdroplets second. Jeuveau at 3-4 months; SKINVIVE approximately every 6 months.","Tell the patient: ""Jeuveau is a wrinkle relaxer designed specifically for cosmetic use. SKINVIVE is not a traditional filler -- it uses tiny microdroplets of hyaluronic acid to improve your skin's overall cheek skin smoothness. They work on completely different aspects of your appearance.""","""Jeuveau is an aesthetics-only neurotoxin by Evolus. Make sure patients understand SKINVIVE is not a filler -- it's microdroplets for skin quality. Different ecosystems (Evolus + Allergan) -- no shared loyalty program.""","No product-specific or class-level study for BoNT-A + microdroplet HA. FDA labels for both. Jeuveau: aesthetics-only, Hi-Pure technology.","",""
"22","Xeomin","Juvederm Vollure XC","common","complementary","strong","true","PASS","PASS","PASS","PASS","PASS","PASS","PASS","PASS","MODERATE","Xeomin is a ""naked molecule"" neurotoxin -- it contains no complexing proteins (0.55ng vs 4.5ng for Botox), which is a consideration for providers evaluating long-term immunogenicity. Vollure's VYCROSS-crosslinked HA addresses nasolabial folds with an 18-month duration. Xeomin is room-temperature stable. Cross-ecosystem (Merz + Allergan).","Same session or sequential visits. Neurotoxin administered first, filler second. If sequential: Xeomin 2 weeks before Vollure. Xeomin at 3-4 months; Vollure at 12-18 months.","Tell the patient: ""Xeomin is a wrinkle relaxer sometimes described as a 'pure' or 'naked' neurotoxin -- it contains only the active ingredient without the extra proteins found in some other neurotoxins. Vollure is a filler designed specifically for nasolabial fold lines and typically lasts about 18 months.""","""Xeomin's key differentiator is its purity -- the naked molecule without extra proteins. Vollure is specifically designed for nasolabial fold lines. Cross-brand pairing (Merz + Allergan) -- different loyalty programs.""","PubMed DOI 10.1097/DSS.0000000000000754 (category-level). FDA labels for both. Xeomin: no accessory proteins, room-temperature stable. Vollure: VYCROSS crosslinking, 18-month duration.","",""
